15	0.6	-6	-2	2	6	2	4	250
30	0.6	-6	-2	2	6	2	4	250
60	0.6	-6	-2	2	6	2	4	250
15	0.4	-6	-2	2	6	2	4	250
30	0.4	-6	-2	2	6	2	4	250
60	0.4	-6	-2	2	6	2	4	250
15	0.6	-6	-2	2	6	4	4	250
30	0.6	-6	-2	2	6	4	4	250
60	0.6	-6	-2	2	6	4	4	250
15	0.4	-6	-2	2	6	4	4	250
30	0.4	-6	-2	2	6	4	4	250
60	0.4	-6	-2	2	6	4	4	250
15	0.6	-6	-2	2	6	2	8	250
30	0.6	-6	-2	2	6	2	8	250
60	0.6	-6	-2	2	6	2	8	250
15	0.4	-6	-2	2	6	2	8	250
30	0.4	-6	-2	2	6	2	8	250
60	0.4	-6	-2	2	6	2	8	250
15	0.6	-6	-2	2	6	4	8	250
30	0.6	-6	-2	2	6	4	8	250
60	0.6	-6	-2	2	6	4	8	250
15	0.4	-6	-2	2	6	4	8	250
30	0.4	-6	-2	2	6	4	8	250
60	0.4	-6	-2	2	6	4	8	250
15	0.6	-6	-2	2	6	2	16	250
30	0.6	-6	-2	2	6	2	16	250
60	0.6	-6	-2	2	6	2	16	250
15	0.4	-6	-2	2	6	2	16	250
30	0.4	-6	-2	2	6	2	16	250
60	0.4	-6	-2	2	6	2	16	250
15	0.6	-6	-2	2	6	4	16	250
30	0.6	-6	-2	2	6	4	16	250
60	0.6	-6	-2	2	6	4	16	250
15	0.4	-6	-2	2	6	4	16	250
30	0.4	-6	-2	2	6	4	16	250
60	0.4	-6	-2	2	6	4	16	250
15	0.6	-6	-2	2	6	2	4	500
30	0.6	-6	-2	2	6	2	4	500
60	0.6	-6	-2	2	6	2	4	500
15	0.4	-6	-2	2	6	2	4	500
30	0.4	-6	-2	2	6	2	4	500
60	0.4	-6	-2	2	6	2	4	500
15	0.6	-6	-2	2	6	4	4	500
30	0.6	-6	-2	2	6	4	4	500
60	0.6	-6	-2	2	6	4	4	500
15	0.4	-6	-2	2	6	4	4	500
30	0.4	-6	-2	2	6	4	4	500
60	0.4	-6	-2	2	6	4	4	500
15	0.6	-6	-2	2	6	2	8	500
30	0.6	-6	-2	2	6	2	8	500
60	0.6	-6	-2	2	6	2	8	500
15	0.4	-6	-2	2	6	2	8	500
30	0.4	-6	-2	2	6	2	8	500
60	0.4	-6	-2	2	6	2	8	500
15	0.6	-6	-2	2	6	4	8	500
30	0.6	-6	-2	2	6	4	8	500
60	0.6	-6	-2	2	6	4	8	500
15	0.4	-6	-2	2	6	4	8	500
30	0.4	-6	-2	2	6	4	8	500
60	0.4	-6	-2	2	6	4	8	500
15	0.6	-6	-2	2	6	2	16	500
30	0.6	-6	-2	2	6	2	16	500
60	0.6	-6	-2	2	6	2	16	500
15	0.4	-6	-2	2	6	2	16	500
30	0.4	-6	-2	2	6	2	16	500
60	0.4	-6	-2	2	6	2	16	500
15	0.6	-6	-2	2	6	4	16	500
30	0.6	-6	-2	2	6	4	16	500
60	0.6	-6	-2	2	6	4	16	500
15	0.4	-6	-2	2	6	4	16	500
30	0.4	-6	-2	2	6	4	16	500
60	0.4	-6	-2	2	6	4	16	500
15	0.6	-6	-2	2	6	2	4	1000
30	0.6	-6	-2	2	6	2	4	1000
60	0.6	-6	-2	2	6	2	4	1000
15	0.4	-6	-2	2	6	2	4	1000
30	0.4	-6	-2	2	6	2	4	1000
60	0.4	-6	-2	2	6	2	4	1000
15	0.6	-6	-2	2	6	4	4	1000
30	0.6	-6	-2	2	6	4	4	1000
60	0.6	-6	-2	2	6	4	4	1000
15	0.4	-6	-2	2	6	4	4	1000
30	0.4	-6	-2	2	6	4	4	1000
60	0.4	-6	-2	2	6	4	4	1000
15	0.6	-6	-2	2	6	2	8	1000
30	0.6	-6	-2	2	6	2	8	1000
60	0.6	-6	-2	2	6	2	8	1000
15	0.4	-6	-2	2	6	2	8	1000
30	0.4	-6	-2	2	6	2	8	1000
60	0.4	-6	-2	2	6	2	8	1000
15	0.6	-6	-2	2	6	4	8	1000
30	0.6	-6	-2	2	6	4	8	1000
60	0.6	-6	-2	2	6	4	8	1000
15	0.4	-6	-2	2	6	4	8	1000
30	0.4	-6	-2	2	6	4	8	1000
60	0.4	-6	-2	2	6	4	8	1000
15	0.6	-6	-2	2	6	2	16	1000
30	0.6	-6	-2	2	6	2	16	1000
60	0.6	-6	-2	2	6	2	16	1000
15	0.4	-6	-2	2	6	2	16	1000
30	0.4	-6	-2	2	6	2	16	1000
60	0.4	-6	-2	2	6	2	16	1000
15	0.6	-6	-2	2	6	4	16	1000
30	0.6	-6	-2	2	6	4	16	1000
60	0.6	-6	-2	2	6	4	16	1000
15	0.4	-6	-2	2	6	4	16	1000
30	0.4	-6	-2	2	6	4	16	1000
60	0.4	-6	-2	2	6	4	16	1000
