D	D	0.325541293787181
C	D	0.322994607405032
D	D	0.331022460565376
A	D	0.392027244215505
B	B	0.333846562496484
D	D	0.302044306527811
C	D	0.306670968731903
D	D	0.302695681633293
D	D	0.254689930857609
A	A	0.32118141720987
B	D	0.446596241966119
A	A	0.386764192829742
A	A	0.311879944850277
B	A	0.381029732413229
B	B	0.36982272167783
B	A	0.311611789833121
D	A	0.402499270949729
D	D	0.316823027222312
C	D	0.370479895728262
B	B	0.378909806340515
D	D	0.341758631223182
A	A	0.377014795560344
C	A	0.339969148736067
D	A	0.327389956903411
A	A	0.314610069911708
A	A	0.349340144410219
D	D	0.332279489253241
C	A	0.338629761814023
C	B	0.325437344066232
B	B	0.424469561162436
D	A	0.299453826053697
C	A	0.32749848134039
A	A	0.320885925457472
D	D	0.279604763753174
C	D	0.353572070046138
A	A	0.402772153225841
A	A	0.375804163386927
A	D	0.34941602248028
A	A	0.343092417539784
B	B	0.424172544819592
D	D	0.337511056371708
A	A	0.324726150952906
D	A	0.356340147991557
B	B	0.391799500333527
B	A	0.379353588266759
D	D	0.270256438623503
B	D	0.410663083932774
B	B	0.359467408419779
D	D	0.395921013635958
A	A	0.329868568458601
B	D	0.387921074203946
C	D	0.368858447801844
B	B	0.435779516769071
B	B	0.306100713840872
A	A	0.331951816006876
A	A	0.304486225432607
D	D	0.312762558984424
D	D	0.346468689890148
C	A	0.324505676954966
A	A	0.319353338949268
B	B	0.383253759014671
B	D	0.306289100507998
A	A	0.33037873627131
D	D	0.29229376528132
C	B	0.408713392351128
B	D	0.386344475821105
B	D	0.328319108689182
C	C	0.409459931697423
D	D	0.31489172807124
C	B	0.363302536891164
D	A	0.327218258978458
C	A	0.318205337353175
A	A	0.308767553343018
D	A	0.275337702754441
A	A	0.323333113558949
B	B	0.403841685720924
A	A	0.350433751198383
D	A	0.3306364290089
D	D	0.262960710787503
A	A	0.32006950808327
A	A	0.315457200945652
C	D	0.329334654654918
A	A	0.335011239802299
